umap_n_neighbors,umap_min_dist,dbscan_eps,dbscan_min_samples,n_clusters,noise_frac,silhouette,davies_bouldin,calinski_harabasz
40,0.0,0.2,10,33,0.0004866072416004955,0.6600496172904968,0.4070311289766049,451464.375
60,0.0,0.2,20,35,0.0005308442635641768,0.659636378288269,0.39831458028994987,484227.21875
60,0.0,0.25,20,25,0.0002654221317820884,0.6595537066459656,0.4164652757670839,370781.5
40,0.0,0.15,10,38,0.001128044060073876,0.659521758556366,0.3914510062529185,506102.875
60,0.0,0.25,10,24,0.00015482957687288493,0.6592835783958435,0.44627902333946645,376924.03125
40,0.0,0.2,15,34,0.0005308442635641768,0.6591876149177551,0.39929766304802283,469561.125
25,0.0,0.3,50,30,0.0007741478843644246,0.658921480178833,0.39267149990002087,392910.96875
40,0.0,0.4,5,18,2.2118510981840703e-05,0.6583216786384583,0.419070676376674,175100.984375
40,0.0,0.4,10,18,2.2118510981840703e-05,0.6583216786384583,0.419070676376674,175100.984375
40,0.0,0.4,15,18,2.2118510981840703e-05,0.6583216786384583,0.419070676376674,175100.984375
25,0.0,0.2,5,36,0.00024330362080024774,0.6575406789779663,0.38371109339839315,298394.28125
40,0.0,0.15,30,49,0.003583198779058194,0.6570447683334351,0.41103159985236526,561488.375
10,0.0,0.5,50,25,0.0005529627745460175,0.6568078398704529,0.415324934018428,178921.265625
40,0.0,0.15,50,58,0.0072327530910619095,0.6567389369010925,0.41603385079026156,639544.8125
60,0.0,0.2,50,38,0.0019685474773838223,0.6562109589576721,0.37040401311963,549035.5625
60,0.0,0.15,15,39,0.0015261772577470085,0.6558049321174622,0.3939827708781141,609659.5625
60,0.1,0.4,50,18,4.4237021963681406e-05,0.6554902791976929,0.40830173945901876,192573.390625
60,0.05,0.15,20,43,0.0028754064276392912,0.6552491188049316,0.38461655740422473,511355.5625
40,0.05,0.4,20,19,0.00042025170865497336,0.6552479267120361,0.43295205254217706,217804.5625
60,0.1,0.4,10,17,0.0,0.6551985144615173,0.4089768704032033,201834.46875
60,0.1,0.4,15,17,0.0,0.6551985144615173,0.4089768704032033,201834.46875
60,0.1,0.4,20,17,0.0,0.6551985144615173,0.4089768704032033,201834.46875
60,0.1,0.4,30,17,0.0,0.6551985144615173,0.4089768704032033,201834.46875
40,0.0,0.15,15,40,0.001415584702837805,0.654678225517273,0.3947985931484143,511898.0625
60,0.0,0.15,5,33,0.0009510959722191502,0.6544743180274963,0.4424171983643752,496871.8125
60,0.0,0.15,10,38,0.0012386366149830794,0.6539844870567322,0.3897339137337736,554649.0
60,0.05,0.25,30,25,0.00044237021963681403,0.6534023284912109,0.4358398892260251,309692.8125
