3.811188,-4.917647
11.073953,-0.197193
18.949793,3.235801
6.938459,-7.328059
6.303916,7.716990
3.808156,-5.085818
18.110632,5.494721
-9.040567,3.734374
9.216102,-6.443882
11.050032,-0.156878
7.392621,-3.203764
10.977449,-0.463650
6.584425,-9.091939
6.909566,-7.340998
6.438737,-9.139664
9.258078,-6.443306
10.330532,-0.544512
9.331304,-6.442262
9.247166,-6.452425
6.385561,-9.631382
18.966488,3.170606
3.958607,-4.964302
18.552591,5.464784
6.380177,-9.629789
18.080957,3.763417
6.288307,-9.146235
7.474467,0.370040
18.769308,3.369752
10.998204,-0.358030
18.618771,5.740104
16.047983,5.654159
3.880969,-4.975152
18.815613,3.376411
6.928559,-9.120883
3.489801,-4.273060
7.275896,-3.258042
6.922835,-9.529610
0.523630,3.804394
7.447057,-3.165680
10.963034,-0.470773
7.386042,-3.254776
6.604426,-9.106933
6.939354,-7.335664
6.358534,-9.031709
6.897034,-7.334805
9.996662,-1.072903
3.860666,-5.039849
6.565607,-9.073129
3.854112,4.060356
7.463962,0.361981
6.896687,-9.139722
6.125424,-2.924612
3.755954,-5.087018
10.986213,-0.316236
18.635237,5.736275
17.216312,6.602474
7.468635,0.337472
6.934610,-7.325998
10.328171,-0.493384
9.281792,-5.942198
3.742157,-5.081038
7.279683,-3.251633
9.311235,-6.419609
6.375732,-9.581801
6.918225,-7.310615
3.846987,-4.782897
0.162358,6.521970
6.133388,-2.924942
6.535763,-8.967091
18.673758,5.686059
18.899969,3.511788
18.957924,3.253664
18.769182,3.350514
9.339576,-6.389846
6.441751,-9.019584
6.561716,-9.058071
16.069126,5.651579
3.791986,4.096008
18.676941,4.621703
-9.056167,3.802640
10.977710,-0.387599
3.785408,4.111576
11.074477,-0.218176
6.287794,-8.973686
17.645025,4.506302
9.273800,-6.255939
0.575665,3.794470
6.444508,-9.197691
18.662977,4.637800
6.481921,-8.938330
6.434339,7.378574
18.889420,3.310694
6.354599,-9.139724
6.935268,-7.323678
3.772933,4.130650
17.682007,4.483107
0.845037,3.877812
3.953647,-4.979344
6.571149,-9.291790
3.935234,-5.017843
6.968969,-9.336159
2.144248,5.615155
9.354661,-6.377964
8.876702,-6.389123
7.531283,0.413916
6.977054,-9.245204
3.967454,-4.961879
16.066191,5.641015
10.996347,-0.379067
3.757729,-4.904299
7.449734,-3.186010
3.778227,4.109545
18.061186,3.816323
9.481064,-6.124896
7.726568,-3.842496
6.975688,-9.329237
6.276818,-9.269215
7.461422,0.380410
4.475085,4.771080
2.095243,5.667864
7.224104,-3.308443
6.910699,-9.149515
6.725180,-7.994349
18.860701,3.304498
16.015972,6.325191
11.052071,-0.160465
18.636854,5.730251
18.951473,3.265665
7.027645,-9.569781
6.259096,-8.990383
0.959665,5.168297
11.016660,-0.311193
11.011301,-0.192612
18.653599,5.702341
7.483049,0.362820
7.013910,-9.563433
11.054499,-0.159902
6.306765,7.703027
6.871859,-9.484691
6.801044,-9.222719
7.722270,-3.832901
11.062549,-0.260493
0.272130,6.641501
7.010019,-9.543904
6.919491,-9.163836
6.390601,-9.640316
7.734807,-3.848947
6.611066,-9.145941
9.417828,-6.309709
9.277465,-6.223494
6.940623,-7.342693
11.109918,-0.369265
3.491737,-4.842381
6.585144,-9.395435
2.061463,5.620578
6.415508,-9.539762
6.988588,-7.307623
7.299780,-3.267461
6.836490,-8.548321
6.953110,-9.180043
6.929859,-7.334961
7.492871,0.340816
10.915357,-0.420851
6.812327,-8.597872
6.545099,-9.124387
11.023491,-0.473395
3.904021,-4.989841
6.516869,-8.968162
0.156476,6.694929
2.174383,5.612345
6.688816,-9.352234
18.827717,3.324301
6.920959,-7.342258
6.054923,7.792826
7.347649,-3.310556
7.385555,-3.242875
6.628945,-9.201606
6.528046,-9.361421
6.399958,-9.204748
6.651428,-9.172193
3.724626,-5.076536
7.358480,-3.158819
